date,twse_close,twse_change_pct,candidate_count,v01_score,v01_regime,v02_score,v02_regime,breakout_count,postbreakout_count,near_pivot_count,forming_count,extended_count,active_industry_count,t1_return_pct,t3_return_pct,t5_return_pct,t10_return_pct,v02_delta_1d,v02_delta_5d,divergence_1d
2026-04-30,38926.63,-0.9589,155,60.3,中性偏多,63.0,中性偏多,5,85,47,18,32,19,4.5689,5.6831,6.8778,5.7691,-6.299999999999997,18.1,-5.341099999999997
2026-05-04,40705.14,4.5689,200,58.7,中性偏多,61.4,中性偏多,9,139,39,13,57,20,0.1576,3.0184,2.6653,0.4586,-1.6000000000000014,7.600000000000001,-6.168900000000002
2026-05-05,40769.29,0.1576,200,51.5,中性,52.9,中性,6,168,26,0,79,22,0.9065,2.0473,2.7693,-1.4563,-8.5,-7.600000000000001,-8.6576
2026-05-06,41138.85,0.9065,200,47.3,中性,48.3,中性,5,183,12,0,76,23,1.9323,1.5829,0.5728,-2.7177,-4.600000000000001,-8.600000000000001,-5.506500000000002
2026-05-07,41933.78,1.9323,200,51.3,中性,53.3,中性,10,190,0,0,71,28,-0.7866,-0.0846,-0.4341,-1.3487,5.0,-16.0,3.0677000000000003
2026-05-08,41603.94,-0.7866,200,51.1,中性,52.5,中性,4,151,36,9,64,25,0.4474,-0.5515,-1.0374,1.5961,-0.7999999999999972,-10.5,-0.013399999999997192
2026-05-11,41790.06,0.4474,200,49.9,中性,51.7,中性,9,191,0,0,68,27,0.2591,-0.0917,-2.1494,4.4373,-0.7999999999999972,-9.699999999999996,-1.2473999999999972
2026-05-12,41898.32,0.2591,200,42.2,中性偏空,42.5,中性偏空,3,197,0,0,79,28,-1.2502,-1.7327,-4.1118,3.8833,-9.200000000000003,-10.399999999999999,-9.459100000000003
2026-05-13,41374.5,-1.2502,200,45.6,中性,46.0,中性,1,166,29,4,63,29,0.9118,-1.1666,-3.2718,6.9664,3.5,-2.299999999999997,4.7501999999999995
2026-05-14,41751.75,0.9118,200,56.1,中性偏多,58.6,中性偏多,8,142,33,17,59,25,-1.3877,-3.7752,-0.9186,4.514,12.600000000000001,5.300000000000004,11.688200000000002
2026-05-15,41172.36,-1.3877,142,50.8,中性,52.6,中性,3,102,21,16,44,23,-0.6814,-2.7969,2.661,8.648,-6.0,0.10000000000000142,-4.6123
2026-05-18,40891.82,-0.6814,168,49.2,中性,51.0,中性,4,129,15,20,45,24,-1.7516,1.165,6.7314,10.8728,-1.6000000000000014,-0.7000000000000028,-0.9186000000000014
2026-05-19,40175.56,-1.7516,123,48.9,中性,50.3,中性,2,93,17,11,27,25,-0.3852,5.2082,8.3379,13.3956,-0.7000000000000028,7.799999999999997,1.0515999999999972
2026-05-20,40020.82,-0.3852,122,58.2,中性偏多,61.0,中性偏多,6,88,20,8,33,23,3.3667,9.0542,10.5844,16.0875,10.700000000000003,15.0,11.085200000000002
2026-05-21,41368.21,3.3667,194,53.4,中性,55.5,中性偏多,6,140,30,18,53,25,2.175,5.2145,5.483,10.4168,-5.5,-3.1000000000000014,-8.8667
2026-05-22,42267.97,2.175,200,52.7,中性,54.3,中性,11,189,0,0,67,28,3.2564,4.7053,5.8318,6.6314,-1.2000000000000028,1.6999999999999957,-3.3750000000000027
2026-05-25,43644.4,3.2564,200,51.7,中性,53.6,中性,10,190,0,0,75,25,-0.2727,-0.0182,3.8802,-0.3245,-0.6999999999999957,2.6000000000000014,-3.956399999999996
2026-05-26,43525.37,-0.2727,200,47.9,中性,49.1,中性,7,193,0,0,64,25,1.6805,2.7744,4.6684,2.7089,-4.5,-1.1999999999999957,-4.2273
2026-05-27,44256.8,1.6805,200,43.8,中性偏空,44.4,中性偏空,4,196,0,0,80,29,-1.4017,2.4428,4.9763,-2.3302,-4.700000000000003,-16.6,-6.380500000000003
2026-05-28,43636.44,-1.4017,200,46.2,中性,48.1,中性,2,160,29,9,68,31,2.5128,4.402,4.6773,-1.116,3.700000000000003,-7.399999999999999,5.101700000000003
2026-05-29,44732.94,2.5128,200,52.2,中性,53.8,中性,7,169,24,0,73,28,1.3524,3.8589,0.7556,-1.2606,5.699999999999996,-0.5,3.187199999999996
2026-06-01,45337.91,1.3524,200,47.0,中性,48.2,中性,6,189,5,0,85,31,0.4839,0.7489,-4.0477,0.1303,-5.599999999999994,-5.399999999999999,-6.952399999999995
2026-06-02,45557.31,0.4839,200,48.7,中性,50.2,中性,8,192,0,0,66,32,1.9796,-1.0676,-1.8721,0.5529,2.0,1.1000000000000014,1.5161
2026-06-03,46459.16,1.9796,200,52.9,中性,54.4,中性,11,189,0,0,70,34,-1.6826,-6.3634,-6.9601,-1.2522,4.199999999999996,10.0,2.2203999999999957
2026-06-04,45677.46,-1.6826,200,45.5,中性,50.2,中性,8,192,0,0,53,37,-1.3278,-2.1302,-5.5345,1.7246,-4.199999999999996,2.1000000000000014,-2.517399999999996
2026-06-05,45070.94,-1.3278,200,49.6,中性,50.8,中性,5,170,25,0,56,35,-3.4793,-4.0944,-2.0011,5.9253,0.5999999999999943,-3.0,1.9277999999999944
2026-06-08,43502.78,-3.4793,118,48.0,中性,49.7,中性,1,78,17,22,28,30,2.7623,-0.8122,4.3542,8.2704,-1.0999999999999943,1.5,2.3793000000000055
2026-06-09,44704.44,2.7623,142,55.2,中性偏多,58.3,中性偏多,5,85,19,33,30,32,-3.3082,-1.1976,2.4712,2.9956,8.599999999999994,8.099999999999994,5.837699999999995
2026-06-10,43225.54,-3.3082,127,46.2,中性,47.6,中性,1,93,14,19,27,31,-0.176,5.0235,6.1349,7.0091,-10.699999999999996,-6.799999999999997,-7.391799999999996
2026-06-11,43149.46,-0.176,129,51.1,中性,53.2,中性,4,99,12,14,24,30,2.3629,6.164,7.6843,3.2962,5.600000000000001,3.0,5.776000000000002
2026-06-12,44169.04,2.3629,140,57.2,中性偏多,60.5,中性偏多,7,96,15,22,21,30,2.7801,3.8678,8.0882,1.8811,7.299999999999997,9.700000000000003,4.937099999999997
2026-06-15,45396.99,2.7801,163,50.4,中性,52.3,中性,4,122,18,19,39,30,0.908,2.353,3.7528,1.6057,-8.200000000000003,2.5999999999999943,-10.980100000000004
2026-06-16,45809.19,0.908,173,48.5,中性,50.0,中性,4,140,14,15,39,28,0.1489,4.2182,0.5117,2.6409,-2.299999999999997,-8.299999999999997,-3.207999999999997
